s.deletion,gramm.cat,phon.cont,social
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
yes,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
