"","title","n_words","n_unique"
"1","cinik.txt",1120,636
"2","dachniki.txt",499,340
"3","delec.txt",308,245
"4","dorogaya_sobaka.txt",679,382
"5","gost.txt",1092,625
"6","intellegentnoje_delo.txt",1362,661
"7","jeger.txt",1261,688
"8","mertvoje_telo.txt",1213,692
"9","mislitel.txt",931,537
"10","moi_jeni.txt",2048,1189
"11","nalim.txt",1300,710
"12","ne_sudba.txt",1142,645
"13","nervi.txt",1075,609
"14","ninochka.txt",1384,748
"15","obshee_obrazovaniye.txt",1321,712
"16","otec_semejstva.txt",1101,625
"17","psichopaty.txt",1125,598
"18","rukovodstvo_dlya_zhelayushich_zhenica.txt",1115,727
"19","rybje_delo.txt",790,536
"20","sapogi.txt",1136,575
"21","simulianti.txt",992,593
"22","starosta.txt",1367,706
"23","stena.txt",680,410
"24","straji_pod_strajey.txt",1173,649
"25","svistuni.txt",1023,613
"26","utoplennik.txt",916,558
"27","v_apteke.txt",1094,652
"28","zabludshije.txt",1096,611
"29","zhenich_i_papenka.txt",1285,659
"30","zloumishlennik.txt",1074,555
