v.elision,group,word,position
no,second,бесчин,strong
no,second,бесчин,strong
no,second,бесчин,strong
no,second,злор,strong
no,second,злор,strong
no,second,злор,strong
no,second,злор,strong
no,second,злор,strong
no,second,злор,strong
no,second,злор,strong
no,second,злор,strong
no,second,попеч,strong
no,second,попеч,strong
no,second,попеч,strong
no,second,попеч,strong
no,second,попеч,strong
no,second,попеч,strong
no,second,попеч,strong
no,second,чувс,strong
no,second,чувс,strong
no,second,чувс,strong
no,first,чувс,strong
no,first,шефс,strong
no,third,бесчин,strong
no,third,бесчин,strong
no,third,бесчин,strong
no,third,бесчин,strong
no,third,бесчин,strong
no,third,бесчин,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,злор,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,попеч,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,чувс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,third,шефс,strong
no,second,бесчин,weak
no,second,бесчин,weak
no,second,злор,weak
no,second,злор,weak
no,second,злор,weak
no,second,попеч,weak
no,second,попеч,weak
no,second,попеч,weak
no,second,попеч,weak
no,second,чувс,weak
no,second,шефс,weak
no,third,злор,weak
no,third,злор,weak
no,third,злор,weak
no,third,злор,weak
no,third,злор,weak
no,third,злор,weak
no,third,злор,weak
no,third,попеч,weak
no,third,попеч,weak
no,third,попеч,weak
no,third,чувс,weak
no,third,чувс,weak
no,third,чувс,weak
no,third,чувс,weak
no,third,чувс,weak
no,third,шефс,weak
no,third,шефс,weak
no,third,шефс,weak
no,third,шефс,weak
no,third,шефс,weak
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,бесчин,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,злор,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,попеч,strong
yes,second,чувс,strong
yes,second,чувс,strong
yes,second,чувс,strong
yes,second,чувс,strong
yes,second,чувс,strong
yes,second,чувс,strong
yes,second,чувс,strong
yes,second,чувс,strong
yes,second,чувс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
