speaker,index,word,time,word.dur,voicing.dur,vowel.dur,cluster.dur,spreading.dur,sonorant.dur,closure.dur,vor,voffr,mor,cond_no,ipa,cons1,vowel,height,anteroposterior,roundness,consonant,manner,place,aspiration,syllables,syl_structure,gloss,pos,comp,contx
brs02,137,kokk,438.02831840053096,489.2532341835363,153.17607289830448,100.91771323914145,231.29937994735883,114.3327454438463,166.59110510300934,64.70827484434949,332.2170931865003,179.0410202881958,231.29937994735883,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
brs02,138,kokk,440.6193291761149,444.0904994476682,138.68315381711227,72.55401234567671,216.99152809270572,98.2064909296696,164.33563240110516,52.65589569160056,289.54554043838243,150.86238662127016,216.99152809270572,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
brs02,139,kokk,443.07137692113884,449.9382716049922,169.7790004193962,107.46183786415031,194.6833448919847,50.07512769418554,112.39229024943143,82.29105464255326,302.145182756135,132.3661823367388,194.6833448919847,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
bte03,15,kokk,132.67143990929705,529.7191697191579,93.55597779344293,93.00906569524159,245.02400960383852,119.20498866211915,119.7519007603205,125.27210884351803,338.0330752990801,244.47709750563718,245.02400960383852,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
bte03,16,kokk,137.56549886621315,514.8229548229608,159.27326486152538,107.4244400956843,230.21274811293324,45.14472455647933,96.9935493223204,133.21919879061284,337.63718820861754,178.36392334709217,230.21274811293324,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
bte03,17,kokk,143.38380574452003,519.2894935752008,136.19725631116353,99.3158917702317,228.93689852335797,72.28930021619817,109.17066475713,119.76623376622797,328.25279029358967,192.05553398242614,228.93689852335797,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
jj04,4,kokk,45.93431439242364,445.65915254990784,108.00514279785745,77.86753085071751,176.18978904693705,67.75560594608265,97.89321789322258,78.29657115371447,254.05731989765457,146.05217709979712,176.18978904693705,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
jj04,5,kokk,49.322623049219686,379.71481926103934,100.10909549004765,65.9844033192698,131.1798697973856,35.453446024874324,69.57813819565217,61.601731601733434,197.1642731166554,97.05517762660776,131.1798697973856,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
jj04,6,kokk,51.80258677830106,376.0024669208377,131.2761549064021,82.21590983811211,142.22388026232125,28.82010582010963,77.88035088839962,64.34352937392163,224.43979010043336,93.16363519403126,142.22388026232125,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
shg05,113,kokk,309.7203012633625,350.20339776122,68.1052770140127,59.5010262339315,166.52371093363172,95.66178132445202,104.26603210453322,62.257678829098495,226.02473716756322,157.91946015355052,166.52371093363172,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
