Decade	RhymedNwords	RhymedNsyl	UPoS	LineText	Author
1820s	1	1	NOUN	«Промчалась туча грозных бед,	В. Г. Тепляков
1820s	1	1	NOUN	Вечерний звон, вечерний звон!	И. И. Козлов
1820s	1	1	NOUN	Давно ли жизнию кипела в сердце кровь?	В. Н. Олин
1820s	1	1	NOUN	Наш славный Владимир, наш солнышко-князь,	П. А. Катенин
1820s	1	1	PRON	Не привлекаю девы я,	А. Ф. Вельтман
1820s	1	1	PRON	Сначала жизнь пленяет нас:	Д. В. Веневитинов
1820s	1	1	PRON	Ты в Петербурге, ты со мной,	А. А. Дельвиг
1820s	1	2	ADJ	Голов сто, мнений сто; год новый -- вкус иной;	А. Г. Родзянка
1820s	1	2	ADJ	Девица юная подобна розе нежной,	К. Н. Батюшков
1820s	1	2	ADJ	Отчего, мой ангел милый,	И. П. Мятлев
1820s	1	2	ADJ	Под камнем сим лежит Мосальский тощий:	Д. В. Давыдов
1820s	1	2	ADV	Ничто не бессмертно, не прочно	Е. А. Баратынский : А. А. Дельвиг : В. А. Эртель
1820s	1	2	ADV	Сбылось, что вы желали тайно,	А. В. Кольцов
1820s	1	2	DET	Бывало, в юности моей	В. И. Козлов
1820s	1	2	DET	Шли два Осла дорогою одной	А. Е. Измайлов
1820s	1	2	NOUN	Быть может, милый друг, разгневанные боги	П. А. Плетнев
1820s	1	2	NOUN	Владыко щитов,	А. И. Полежаев
1820s	1	2	NOUN	Где гибкий орешник сплетается с ивой,	П. П. Шкляревский
1820s	1	2	NOUN	Земли улыбка, радость неба,	А. Н. Муравьев
1820s	1	2	NOUN	Итак, настал сей день победы, славы, мщенья;	А. С. Хомяков
1820s	1	2	NOUN	Лицо мое горит на солнечных лучах,	А. Г. Ротчев
1820s	1	2	NOUN	Люблю я звук твоих речей,	В. И. Туманский
1820s	1	2	NOUN	Любовь земли и прелесть года,	Ф. И. Тютчев
1820s	1	2	NOUN	На море легкий лег туман,	С. Е. Раич
1820s	1	2	NOUN	Напрасно я мечтал о почестях и славе	М. А. Дмитриев
1820s	1	2	NOUN	Не часто ль ты в мечтах, задумчивый Певец,	А. А. Крылов
1820s	1	2	NOUN	Обитель мирная отшельников святых,	С. Д. Нечаев
1820s	1	2	NOUN	Ох, тетинька! ох, Анна Львовна,	А. С. Пушкин : А. А. Дельвиг
1820s	1	2	NOUN	Падет в наш ум чуть видное зерно	С. П. Шевырев
1820s	1	2	NOUN	По льду Невы, любуясь бегом,	Д. И. Хвостов
1820s	1	2	NOUN	Степенный ум и поздны леты,	Б. М. Федоров
1820s	1	2	NOUN	Струн вещих пламенные звуки	А. И. Одоевский
1820s	1	2	NOUN	Сын севера! суров и хладен твой клима́т;	И. И. Дмитриев
1820s	1	2	NOUN	Ты прелести златого века	А. С. Норов
1820s	1	2	NOUN	Христос раждается -- народы! славьте с кликом,	С. А. Ширинский-Шихматов
1820s	1	2	NOUN	Шел Дервиш; утомясь в степи, палимой зноем,	А. Д. Илличевский
1820s	1	2	NOUN	Я видел Кур; он катит воды	А. А. Шишков
1820s	1	2	VERB	«Не спеши, моя красавица, постой:	В. И. Панаев
1820s	1	2	VERB	Даша милая, прости:	П. П. Ершов
1820s	1	2	VERB	Молю, словами не играй,	Н. С. Теплова
1820s	1	2	VERB	О чем я в юности мечтал,	А. Х. Востоков
1820s	1	3	ADJ	Жил да был петух индейский,	Е. А. Баратынский : С. А. Соболевский
1820s	1	3	ADJ	Нерон сказал богам державным:	Ф. К. Сологуб
1820s	1	3	ADJ	О юноша бессмертный!	В. Н. Григорьев
1820s	1	3	ADJ	С тех пор как случаем игривым	О. М. Сомов
1820s	1	3	ADJ	Свинья под Дубом вековым	И. А. Крылов
1820s	1	3	ADJ	Хор грянул!.. Кто слетел в гармонии небесной?	А. Ф. Мерзляков
1820s	1	3	ADV	Друзья, сегодни невзначай	Н. М. Коншин
1820s	1	3	ADV	Он точно, он бесспорно,	Е. А. Баратынский : А. С. Пушкин
1820s	1	3	ADV	Философ Гераклит, наплакавшись досыта,	К. П. Масальский
1820s	1	3	NOUN	Ах, где те острова,	К. Ф. Рылеев : А. А. Бестужев-Марлинский
1820s	1	3	NOUN	Было время, мой приятель,	Н. М. Языков
1820s	1	3	NOUN	Вздрогнув от ужаса, с трепещущей душою,	Е. Ф. Розен
1820s	1	3	NOUN	Вот угас огонь денницы,	Ф. А. Кони
1820s	1	3	NOUN	Есть на земле безвестный уголок,	Ф. А. Туманский
1820s	1	3	NOUN	Из савана оделся он в ливрею,	А. А. Бестужев-Марлинский
1820s	1	3	NOUN	К чему печальное сомненье?	А. И. Подолинский
1820s	1	3	NOUN	Когда б он знал, что пламенной душою	Е. П. Ростопчина
1820s	1	3	NOUN	Милый сон, души пленитель,	В. А. Жуковский
1820s	1	3	NOUN	Младенец слабыми руками	Л. А. Якубович
1820s	1	3	NOUN	Не мани меня, надежда,	В. К. Кюхельбекер
1820s	1	3	NOUN	Так утомленный сибарит	П. И. Шаликов
1820s	1	3	NOUN	Я зрел ничтожества ужасный идеал	В. Н. Щастный
1820s	1	3	VERB	Благодарю судьбу, что грамоте умею!	Н. М. Карамзин
1820s	1	3	VERB	Вы мне давно колпак связали;	В. С. Филимонов
1820s	1	3	VERB	Для славы ты здоровья не жалеешь,	П. А. Вяземский
1820s	1	3	VERB	Есть пустыня, в ней таится	А. П. Крюков
1820s	1	3	VERB	О милый друг, ты наконец узнала	Д. П. Ознобишин
1820s	1	3	VERB	О счастии с младенчества тоскуя,	Е. А. Баратынский
1820s	1	3	VERB	Пусть злые люди венец сплетают,	П. С. Бобрищев-Пушкин
1820s	1	3	VERB	Светает! ... Ах! как скоро ночь минула!	А. С. Грибоедов
1820s	1	4	ADJ	Друзья! на что смущать еще прах неостылый	С. Н. Глинка
1820s	1	4	ADJ	Певец гремящий, незабвенный,	Н. М. Шатров
1820s	1	4	DET	Попалась мышь! Умри -- спасенья никакого!	А. Ф. Воейков
1820s	1	4	NOUN	Гонимый грозным приговором,	М. Д. Деларю
1820s	1	4	NOUN	Дубравы пышные, где ваше одеянье?	Н. И. Гнедич
1820s	1	4	NOUN	Мглистое небо слилось с Океаном,	П. Г. Ободовский
