chapter,Harold,Gussie,Dahlia,Jeeves,Madeline,Oates,Spode,Stiffy,sir
Chapter 01,0,0.002497918401332,0.001248959200666,0.004163197335554,0.001040799333888,0,0,0.000208159866778,0.004163197335554
Chapter 02,0,0.001898433792122,0.001186521120076,0.009017560512577,0.001661129568106,0,0.001186521120076,0.00047460844803,0.009966777408638
Chapter 03,0,0.004536806673496,0.000878091614225,0.001463486023708,0.0035123664569,0,0.005853944094834,0.000146348602371,0.002195229035563
Chapter 04,0.003036996134732,0.002622860298178,0.000138045278851,0.001380452788515,0.001104362230812,0.001518498067366,0.001794588625069,0.003036996134732,0.001380452788515
Chapter 05,0.000210881484606,0.002952340784479,0.00147617039224,0.00822437789962,0,0.000210881484606,0.004006748207507,0.00147617039224,0.011387600168705
Chapter 06,0,0.005196032120926,0,0.001417099669343,0.003306565895135,0,0.007557864903165,0.001417099669343,0.000472366556448
Chapter 07,0,0.004066418163334,0.001694340901389,0.005252456794307,0.000508302270417,0,0.010843781768892,0.00152490681125,0.00474415452389
Chapter 08,0.002443867420192,0.000610966855048,0.000152741713762,0.005498701695433,0,0.000458225141286,0.000458225141286,0.007026118833053,0.007026118833053
Chapter 09,0.002280212819863,0.000760070939954,0.000253356979985,0.000760070939954,0.000760070939954,0.002280212819863,0,0.003546997719787,0.003040283759818
Chapter 10,0,0.003405572755418,0,0.002786377708978,0.001857585139319,0.00030959752322,0.004024767801858,0.002786377708978,0.004953560371517
Chapter 11,0,0.005738522954092,0.000748502994012,0.006487025948104,0.001497005988024,0.002245508982036,0.002744510978044,0.000249500998004,0.012974051896208
Chapter 12,0,0.004019651630192,0.006252791424743,0.010719071013846,0,0.00089325591782,0.001339883876731,0,0.009379187137115
Chapter 13,0.002185792349727,0.000728597449909,0.001457194899818,0.007650273224044,0,0.001821493624772,0.001092896174863,0.001457194899818,0.009471766848816
Chapter 14,0,0.000565184626978,0.002260738507913,0.006782215523738,0.000753579502638,0.003391107761869,0.002260738507913,0.001130369253956,0.016013564431048
